# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
3.3           	(0.000000e+00 2.770097e-08 0.000000e+00)	(0.000000e+00 2.770097e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.783654e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.4           	(0.000000e+00 2.372198e-08 0.000000e+00)	(0.000000e+00 2.372198e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.149132e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.5           	(0.000000e+00 1.940270e-08 0.000000e+00)	(0.000000e+00 1.940270e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.461290e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.6           	(0.000000e+00 1.479940e-08 0.000000e+00)	(0.000000e+00 1.479940e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.714728e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.7           	(0.000000e+00 9.973247e-09 0.000000e+00)	(0.000000e+00 9.973247e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.904867e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.8           	(0.000000e+00 4.989666e-09 0.000000e+00)	(0.000000e+00 4.989666e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.028221e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
3.9           	(0.000000e+00 -8.319494e-11 0.000000e+00)	(0.000000e+00 -8.319494e-11 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.082572e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4             	(0.000000e+00 -5.175478e-09 0.000000e+00)	(0.000000e+00 -5.175478e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -5.066314e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.1           	(0.000000e+00 -1.021582e-08 0.000000e+00)	(0.000000e+00 -1.021582e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.978723e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.2           	(0.000000e+00 -1.513292e-08 0.000000e+00)	(0.000000e+00 -1.513292e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.821308e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.3           	(0.000000e+00 -1.985844e-08 0.000000e+00)	(0.000000e+00 -1.985844e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.595499e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.4           	(0.000000e+00 -2.432392e-08 0.000000e+00)	(0.000000e+00 -2.432392e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -4.303715e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.5           	(0.000000e+00 -2.846587e-08 0.000000e+00)	(0.000000e+00 -2.846587e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.950692e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.6           	(0.000000e+00 -3.222530e-08 0.000000e+00)	(0.000000e+00 -3.222530e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.541409e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.7           	(0.000000e+00 -3.554869e-08 0.000000e+00)	(0.000000e+00 -3.554869e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -3.081905e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.8           	(0.000000e+00 -3.838911e-08 0.000000e+00)	(0.000000e+00 -3.838911e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.578715e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
4.9           	(0.000000e+00 -4.070612e-08 0.000000e+00)	(0.000000e+00 -4.070612e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.039052e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5             	(0.000000e+00 -4.246722e-08 0.000000e+00)	(0.000000e+00 -4.246722e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -1.471315e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.1           	(0.000000e+00 -4.364875e-08 0.000000e+00)	(0.000000e+00 -4.364875e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -8.837569e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.2           	(0.000000e+00 -4.423473e-08 0.000000e+00)	(0.000000e+00 -4.423473e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 -2.848788e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.3           	(0.000000e+00 -4.421850e-08 0.000000e+00)	(0.000000e+00 -4.421850e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 3.161675e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.4           	(0.000000e+00 -4.360240e-08 0.000000e+00)	(0.000000e+00 -4.360240e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 9.103074e-09 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.5           	(0.000000e+00 -4.239789e-08 0.000000e+00)	(0.000000e+00 -4.239789e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 1.488713e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.6           	(0.000000e+00 -4.062497e-08 0.000000e+00)	(0.000000e+00 -4.062497e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.042848e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.7           	(0.000000e+00 -3.831219e-08 0.000000e+00)	(0.000000e+00 -3.831219e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 2.564141e-08 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
